paper,scope,theme,dimension,hexcode,markers,sub_Markers,hashtag
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,Government Expenditure Share on Agriculture,,"government, public_investment"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,"Dietary energy in the food supply (kcal/capita, or percent of requirements)",,"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,Dietary quality of the food supply (g/capita of specific foods or nutrients),Average supply of protein (grams/cap/day),"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,Dietary quality of the food supply (g/capita of specific foods or nutrients),Protein from animal sources (grams per capita per day),"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,Dietary quality of the food supply (g/capita of specific foods or nutrients),Share of calories from no-staples %,"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,"Dietary energy from household expenditure survey (HES)(kcal/day per adult equivalent, or percent of requirements)",,"nutrition, household_expenditure"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,"Dietary quality indexes (ratios, indexes or quantity/day of specific foods or nutrients)",Healthy Eating Index,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,"Dietary quality indexes (ratios, indexes or quantity/day of specific foods or nutrients)",Healthy Item Score,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,"Dietary quality indexes (ratios, indexes or quantity/day of specific foods or nutrients)",Unhealthy Item Score,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,Experienced-based Scales,Household Hunger Scale (HHS),nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,Experienced-based Scales,Household Food Insecurity Access Scale (HFIAS),nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,Experienced-based Scales,Food Insecurity Experience Scale (FIES),nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,F7F7CB,"Nutrient adequacy (percent of requirements for specific nutrients), intake or density",,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,Diversity of the food supply (index of functional attributes or food sources),,"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,Diversity of foods available in local markets (number of distinct foods or good groups),,"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,"Dietary diversity (number of food groups, or percent with low diversity scores)",Household Dietary Diversity Score,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,"Dietary diversity (number of food groups, or percent with low diversity scores)",Food Consumption Score,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,"Dietary diversity (number of food groups, or percent with low diversity scores)",Infant and Young Child Dietary Diversity Score,"nutrition, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,"Dietary diversity (number of food groups, or percent with low diversity scores)",Infant and Young Child Minimum Acceptable Diet,"nutrition, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,"Dietary diversity (number of food groups, or percent with low diversity scores)",Minimum Dietary Diversity for Women,"nutrition, woman"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,Share of public budget spent on nutrition and allied programs,,"nutrition, household_expenditure"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,Right to food,,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,food price indexes (local food prices relative to other prices),,"household_expenditure, food_market"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,Food affordability indexes (food prices relative to labor wages or income),,"household_expenditure, food_market"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,Household food expenditure (shae of total spending),,"household_expenditure, food_market"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,"Prevalence of Undernourishment (PoU) (percent of population, or millions of people)",,"nutrition, demographic"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,"Depth of food deficit (kcal/capita/day, based on Prevalence of Undernourish-ment data)",,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,F6F194,Oral rehydration (percent of under 5 with diarrhea),,"nutrition, demographic, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Drinking water: use of clean water sources (percent of households),,water_use
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Open defecation: Use of toilets (percent of households),,water_use
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,"Birth timing (maternal age at first birth, months between births)",,"demographic, woman"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Women of reproductive age short stature (percent low height),,"demographic, woman"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Women of reproductive age thinness (percent low BMI),,"demographic, woman"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,"Anemia among women and children (percent of population), lodine deficiency (percent)",,"demographic, woman, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Vitamin A deficiency and Supplementation Coverage (percent of pre-school age children),,"nutrition, children, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,"Breastfeeding: initiation, exclusivity and continuation (percent of children)",,"nutrition, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,lodized salt consumption (percent),,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,"Oral rehydration (percent of under 5 with diarrhea receiving ORS, percent of cases)",,"nutrition, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,"Adult and adolescent Body Mass Index (percent underweight, overweight or obese)",,"health,adult"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,"Child height and stunting: height-for-age (percent of children, or mean height)",,"nutrtion, children, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Child weight and wasting: weight-for-height and MUAC (percent of children),,"nutrtion, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Child underweight and: weight-for-age (percent of children),,"nutrtion, children"
