paper,scope,theme,dimension,dimension2,hexcode,markers,sub_Markers,hashtag
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,wellbeing,F7F7CB,"Dietary diversity (number of food groups, or percent with low diversity scores)",Infant and Young Child Dietary Diversity Score,"nutrition, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,wellbeing,F7F7CB,"Dietary diversity (number of food groups, or percent with low diversity scores)",Infant and Young Child Minimum Acceptable Diet,"nutrition, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,wellbeing,F7F7CB,"Dietary diversity (number of food groups, or percent with low diversity scores)",Minimum Dietary Diversity for Women,"nutrition, woman"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,wellbeing,F7F7CB,Share of public budget spent on nutrition and allied programs,,"nutrition, household_expenditure"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,wellbeing,F7F7CB,Right to food,,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,wellbeing,F7F7CB,"Prevalence of Undernourishment (PoU) (percent of population, or millions of people)",,"nutrition, demographic"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,wellbeing,F7F7CB,"Depth of food deficit (kcal/capita/day, based on Prevalence of Undernourish-ment data)",,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,wellbeing,F7F7CB,Oral rehydration (percent of under 5 with diarrhea),,"nutrition, demographic, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F7F7CB,Drinking water: use of clean water sources (percent of households),,water_use
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F7F7CB,Open defecation: Use of toilets (percent of households),,water_use
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F7F7CB,"Birth timing (maternal age at first birth, months between births)",,"demographic, woman"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F7F7CB,Women of reproductive age short stature (percent low height),,"demographic, woman"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F194,Women of reproductive age thinness (percent low BMI),,"demographic, woman"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F195,"Anemia among women and children (percent of population), lodine deficiency (percent)",,"demographic, woman, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F196,Vitamin A deficiency and Supplementation Coverage (percent of pre-school age children),,"nutrition, children, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F197,"Breastfeeding: initiation, exclusivity and continuation (percent of children)",,"nutrition, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F198,lodized salt consumption (percent),,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F199,"Oral rehydration (percent of under 5 with diarrhea receiving ORS, percent of cases)",,"nutrition, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F200,"Adult and adolescent Body Mass Index (percent underweight, overweight or obese)",,"health,adult"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F201,"Child height and stunting: height-for-age (percent of children, or mean height)",,"nutrtion, children, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F202,Child weight and wasting: weight-for-height and MUAC (percent of children),,"nutrtion, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F203,Child underweight and: weight-for-age (percent of children),,"nutrtion, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F204,Child weight and overweight (percent of overweight),,"nutrtion, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F205,Low and very low birthweight (LBW and VLBW)(percent of births),,"nutrtion, children, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F206,Diarrhea (Incidence of food and waterborne diarrhea)(percent of children),,"nutrtion, children, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F207,Adult raised blood glucose (percent),,"health, adult"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,F6F208,Adult raised blood pressure (percent),,"health, adult"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,wellbeing,FCDD61,Adult raised cholesterol levels (percent),,"health, adult"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,market,FCDD62,"Dietary diversity (number of food groups, or percent with low diversity scores)",Household Dietary Diversity Score,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,market,FCDD63,"Dietary diversity (number of food groups, or percent with low diversity scores)",Food Consumption Score,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,market,FCDD64,food price indexes (local food prices relative to other prices),,"household_expenditure, food_market"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,market,FCDD65,Food affordability indexes (food prices relative to labor wages or income),,"household_expenditure, food_market"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,market,FCDD66,Household food expenditure (shae of total spending),,"household_expenditure, food_market"
Measuring Food and Nutritional Security,global,Food/Nutrition,Stability,market,FCDD67,Volatility of food prices (standard deviations of prices over time),,"food_market, household_expenditure"
Measuring Food and Nutritional Security,global,Food/Nutrition,Stability,market,FCDD68,percapita food supply variability,,food_supply
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD69,"Dietary energy in the food supply (kcal/capita, or percent of requirements)",,"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD70,Dietary quality of the food supply (g/capita of specific foods or nutrients),Average supply of protein (grams/cap/day),"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD71,Dietary quality of the food supply (g/capita of specific foods or nutrients),Protein from animal sources (grams per capita per day),"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD72,Dietary quality of the food supply (g/capita of specific foods or nutrients),Share of calories from no-staples %,"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD73,"Dietary energy from household expenditure survey (HES)(kcal/day per adult equivalent, or percent of requirements)",,"nutrition, household_expenditure"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD74,"Dietary quality indexes (ratios, indexes or quantity/day of specific foods or nutrients)",Healthy Eating Index,nutrition
